Clave,Nombre,Latitud,Longitud
1003,CALVILLO (SMN),21.8833333333,-102.7188888889
1004,CA?ADA HONDA,22.0077777778,-102.1980555556
1005,PRESA EL NIAGARA,21.7788888889,-102.4413888889
1006,EL TULE (SMN),22.0816666667,-102.0913888889
1007,JESUS MARIA (SMN),21.9622222222,-102.3447222222
1008,PUERTO DE LA CONCEPCION,22.2025,-102.1344444444
1009,LA LABOR (SMN),21.9622222222,-102.6947222222
1010,LA TINAJA,22.1652777778,-102.5558333333
1011,MALPASO,21.8583333333,-102.6627777778
1012,PRESA MEDIA LUNA,21.7925,-102.8016666667
1013,MESILLAS,22.315,-102.1677777778
1014,PABELLON CAMPO EXPERIMENTAL,22.1625,-102.2919444444
1015,PALO ALTO,21.9161111111,-101.9694444444
1016,GANADERIA PE?UELAS,21.7105555556,-102.2822222222
1017,PRESA POTRERILLO,22.2313888889,-102.4155555556
1018,PRESA PLUTARCO ELIAS CALLES,22.1422222222,-102.4155555556
1019,PRESA JOCOQUI,22.1211111111,-102.3544444444
1020,PRESA LA CODORNIZ,21.9955555556,-102.6747222222
1021,RANCHO VIEJO,22.125,-102.5130555556
1022,SAN BARTOLO,21.7386111111,-102.1841666667
1023,CALVILLO (DGE),21.8463888889,-102.7188888889
1024,SAN ISIDRO,22.0158333333,-102.1580555556
1025,SAN FRANCISCO DE LOS ROMO (SMN,22.0772222222,-102.2711111111
1026,TEPEZALA,22.2225,-102.1694444444
1027,VENADERO (DGE),21.8891666667,-102.4597222222
1028,VILLA JUAREZ,22.1391666667,-102.0675
1029,ASIENTOS,22.2375,-102.0891666667
1030,AGUASCALIENTES I,21.895,-102.3097222222
1031,EL NOVILLO,22.0205555556,-101.9988888889
1032,LAS FRAGUAS,22.0386111111,-101.8938888889
1033,LOS CONOS,21.8983333333,-102
1034,SANDOVALES,21.9180555556,-102.3408333333
1035,SAN FRANCISCO DE LOS VIVEROS,21.9119444444,-102.13
1036,SANTA ROSA,21.8166666667,-102.3
1041,PABELLON DE ARTEAGA (SMN),22.15,-102.2833333333
1043,E.T.A. 127 AGUASCALIENTES,21.8833333333,-102.3
1045,EL TULE (DGE),22.0813888889,-102.0933333333
1046,LA LABOR (DGE),21.9630555556,-102.6933333333
1047,AGUA ZARCA,21.9347222222,-102.4261111111
1057,VENADERO (SMN),21.8725,-102.4666666667
1062,ARELLANO,21.8008333333,-102.2744444444
1063,PE?UELAS (SMN),21.725,-102.275
1073,LA TINAJA,21.8122222222,-102.7758333333
1074,CIENEGUILLA,21.73,-102.4530555556
1075,MONTORO,21.7775,-102.2916666667
1076,LOS NEGRITOS,21.8661111111,-102.325
1077,EL OCOTE,21.78,-102.5180555556
1078,EL OCOTE,21.8933333333,-102.8347222222
1079,PE?UELAS (DGE),21.7216666667,-102.2705555556
1080,PRESA EL CANUTILLO,21.8386111111,-102.5233333333
1081,RANCHO SECO,22.0894444444,-101.9683333333
1082,RINCON DE ROMOS,22.2302777778,-102.3227777778
1083,SAN FRANCISCO DE LOS ROMO (DGE,22.0786111111,-102.275
1084,SAN GIL,22.2066666667,-102.0219444444
1085,TEPETATILLO,22.0891666667,-102.1819444444
1088,COSIO,22.3677777778,-102.2997222222
1089,PRESA CINCUENTA ANIVERSARIO,22.1886111111,-102.4669444444
1090,JESUS MARIA (DGE),21.9625,-102.3466666667
1091,LOS ALISOS,21.7433333333,-102.7313888889
1094,EL CHAYOTE,22.2861111111,-102.2383333333
1095,MILPILLAS DE ARRIBA,21.9375,-102.5508333333
1096,CALVILLITO,21.8266666667,-102.1891666667
1097,AGUASCALIENTES II,21.8808333333,-102.2961111111
1098,LA POSTA,21.9766666667,-102.3586111111
1099,JESUS TERAN,21.9766666667,-102.0441666667
1101,LAS PRESAS,21.9125,-102.0847222222
1102,PABELLON DE ARTEAGA (DGE),22.1486111111,-102.2783333333
1103,CAMPAMENTO ALAMITOS,22.1694444444,-102.5986111111
1104,ABELARDO L. RODRIGUEZ,21.9141666667,-102.4283333333
1105,LOS CUARTOS,21.9852777778,-102.3313888889
1106,LA PRIMAVERA,21.9586111111,-102.4758333333
1108,ARROYO HONDO,22.1694444444,-102.2077777778
2001,AGUA CALIENTE,32.1075,-116.4541666667
2002,BAHIA DE LOS ANGELES,28.6038888889,-113.5561111111
2003,BATAQUEZ,32.5511111111,-115.0688888889
2004,IGNACIO ZARAGOZA -BELEN-,32.1952777778,-116.4855555556
2005,BOQUILLA SANTA ROSA DE LA MISI,32.0216666667,-116.7769444444
2006,CHAPALA,29.4880555556,-114.3638888889
2007,CERRO PRIETO (CFE),32.4380555556,-115.3875
2008,COLONIA GUERRERO,30.7166666667,-115.9833333333
2009,COLONIA JUAREZ,32.2986111111,-115.0161111111
2010,COMPOSTELA,31.7833333333,-115.7666666667
2011,DELTA,32.3530555556,-115.1891666667
2012,EJIDO JOSE MARIA MORELOS,28.3,-114.0258333333
2013,EJIDO PLAN NACIONAL AGRARIO,30.67,-115.1311111111
2014,EL ALAMO,31.5933333333,-116.0544444444
2015,EL ARCO,28.0286111111,-113.3963888889
2016,EL BARRIL,28.3025,-112.8783333333
2017,PLANTA DE BOMBEO ROSARITO,32.3277777778,-117.0472222222
2019,EL COMPADRE,32.3375,-116.2541666667
2020,EL MAYOR,32.1275,-115.2780555556
2021,EL PINAL,32.1833333333,-116.2916666667
2022,EL ROSARIO,30.0594444444,-115.7233333333
2023,EL SOCORRO,30.3205555556,-115.8205555556
2024,EL TESTERAZO,32.2963888889,-116.5344444444
2025,ENSENADA (OBS),31.8577777778,-116.6058333333
2027,ISLA CEDROS,28.135,-115.175
2029,LA PROVIDENCIA,30.9686111111,-116.1566666667
2030,LA PUERTA,32.5438888889,-116.6783333333
2031,LA RUMOROSA,32.5486111111,-116.0463888889
2032,LAS ESCOBAS,30.5794444444,-115.9377777778
2033,MEXICALI (DGE),32.6633333333,-115.4677777778
2034,MEXICALI (SMN),32.55,-115.4666666667
2035,OJOS NEGROS,31.9116666667,-116.2647222222
2036,OLIVARES MEXICANOS,32.0491666667,-116.6808333333
2037,PRESA MORELOS,32.7152777778,-114.7288888889
2038,PRESA RODRIGUEZ,32.4469444444,-116.9077777778
2039,PUNTA PRIETA,29.1583333333,-114.1458333333
2040,RANCHO ALEGRE,28.2286111111,-113.7552777778
2041,NUEVO ROSARITO,28.6344444444,-114.0172222222
2042,ROSARITO,32.2877777778,-117.0019444444
2043,SAN AGUSTIN,29.9375,-114.9669444444
2044,SAN BORJA,28.7352777778,-113.7525
2045,SAN CARLOS,31.7852777778,-116.4636111111
2046,SAN FELIPE,31.0275,-114.8352777778
2047,SAN FERNANDO,29.9833333333,-115.2333333333
2048,SAN JOSE,31.0666666667,-115.5833333333
2049,SAN JUAN DE DIOS NORTE,32.1325,-116.165
2050,SAN JUAN DE DIOS SUR,30.1844444444,-115.1375
2051,SAN LUIS BAJA CALIFORNIA,29.7272222222,-114.7108333333
2052,SAN LUIS GONZAGA,30.0833333333,-114.6166666667
2053,SAN MIGUEL,28.5833333333,-113.95
2054,SAN RAFAEL,31.0333333333,-115.9833333333
2055,SAN TELMO,30.95,-116.1
2056,SAN VICENTE,31.3291666667,-116.2477777778
2057,SANTA CATARINA NORTE,31.6572222222,-115.8238888889
2058,SANTA CATARINA SUR,29.7219444444,-115.1302777778
2059,SANTA CLARA,31.0805555556,-115.2861111111
2060,SANTA CRUZ,30.8786111111,-115.6277777778
2061,SANTA GERTRUDIS,28.075,-113.0916666667
2062,SANTA ISABEL,31.8711111111,-115.8172222222
2063,SANTA MARIA DEL MAR,30.4016666667,-115.8883333333
2064,SANTO DOMINGO,31.6333333333,-116.3769444444
2065,SANTO TOMAS,31.7919444444,-116.4061111111
2066,SIERRA DE JUAREZ,32.0036111111,-115.9483333333
2067,TEPIC,31.1583333333,-115.7205555556
2068,TIJUANA,32.525,-117.0416666667
2069,VALLE DE LAS PALMAS,32.3702777778,-116.6536111111
2070,VALLE REDONDO,32.5177777778,-116.7561111111
2071,COLONIA VALLE DE LA TRINIDAD,31.3558333333,-115.6963888889
2072,PRESA EMILIO LOPEZ ZAMORA,31.8958333333,-115.5972222222
2073,TIJUANA (CFE),32.5241666667,-117.0741666667
2075,SANTA GERTRUDIS MISION,28.0505555556,-113.3997222222
2076,LAS PALOMAS,28.2183333333,-113.0844444444
2077,LA MISION,32.1019444444,-116.8111111111
2078,RANCHO P. P. CUCHUMA,32.5688888889,-116.6611111111
2079,EL ALAMAR,31.8355555556,-116.2038888889
2084,EL PROGRESO,29.9675,-115.1908333333
2085,SAN REGIS,28.5972222222,-113.7547222222
2086,EJIDO JACUME,32.5905555556,-116.1916666667
2087,EJIDO DOCTOR OVIEDO MOTA,32.2288888889,-115.1694444444
2088,EJIDO HEROES DE LA INDEPENDENC,31.6102777778,-115.9375
2089,EJIDO EMILIO LOPEZ ZAMORA,31.1041666667,-116.1683333333
2090,EJIDO ERENDIRA,31.2744444444,-116.3922222222
2091,EJIDO IGNACIO  LOPEZ RAYON,31.2877777778,-116.2644444444
2092,EJIDO SAN MATIAS,31.3313888889,-115.5436111111
2093,EJIDO VALLE DE LA TRINIDAD,32.3561111111,-115.7488888889
2094,EL FARITO,31.9833333333,-116.6666666667
2095,LA BOCANA DE SANTO TOMAS,29.8666666667,-115
2096,LA CALENTURA,31.2702777778,-116.0369444444
2097,LAGUNA SALADA,32.2238888889,-115.6905555556
2099,RANCHO LOS ALGODONES,30.7813888889,-115.175
2100,EJIDO LEANDRO VALLE,31.2666666667,-115.7666666667
2101,EL CENTINELA,32.5752777778,-115.7419444444
2102,LA VENTANA,31.4397222222,-115.0536111111
2104,El CIPRES,31.7902777778,-116.5880555556
2105,SAN PEDRO MARTIR (PARQUE NACIO,30.9688888889,-115.5816666667
2106,MANEADERO,31.6955555556,-116.5727777778
2107,PERCEBU,30.8855555556,-114.7791666667
2108,PUNTA BANDA,31.7138888889,-116.6661111111
2109,SANTA ROSALITA,28.6680555556,-114.2369444444
2110,GUAYAQUIL,29.9672222222,-115.0969444444
