Clave,Longitud,Latitud
4024,-92.09,18.25
4025,-92.02,18.15
4056,-91.74,17.94
7001,-92.22,16.83
7004,-90.92,16.78
7006,-92.04,16.74
7017,-91.08,16.73
7022,-92.02,17.73
7028,-92.13,16.23
7029,-91.71,17.47
7031,-92.26,16.66
7036,-92.49,16.68
7041,-91.47,16.3
7042,-91.62,16.77
7043,-91.08,16.42
7044,-91.15,16.15
7046,-91.33,16.22
7047,-91.37,16.13
7051,-91.78,16.85
7052,-91.5,16.17
7055,-91.71,16.38
7062,-91.86,16.39
7076,-92.46,16.71
7081,-91.07,16.83
7085,-91.98,17.51
7088,-91.05,16.72
7089,-91.32,16.22
7096,-91.78,16.32
7104,-91.97,16.31
7107,-91.61,16.76
7108,-92.05,16.77
7114,-91.73,16.91
7118,-91.58,16.38
7121,-91.13,16.45
7122,-92.09,16.91
7124,-91.25,16.42
7125,-92.34,16.79
7126,-91.98,17.57
7127,-91.78,16.12
7151,-91.35,16.41
7152,-91.43,16.37
7154,-91.48,16.12
7179,-92,16.68
7192,-92.1,16.9
7205,-92.13,16.25
7215,-92.03,16.73
7231,-91.67,16.08
7337,-90.7,16.58
7374,-91.87,16.15
7391,-92.08,16.39
27001,-91.54,17.81
27004,-91.49,17.45
27006,-91.27,17.64
27012,-91.76,17.74
27021,-91.29,17.76
27028,-92.14,18.09
27040,-91.16,17.79
27046,-91.43,17.47
27047,-91.43,17.47
27050,-92.6,18.38
27056,-91.54,17.81
27059,-91.18,17.94
27063,-91.07,17.6
27069,-91.78,17.86
27088,-91.55,17.62
27091,-91.81,17.94
